525946,Troop Zero
157353,Transcendence
346685,The Girl on the Train
318846,The Big Short
124905,Godzilla
296524,Deepwater Horizon
274870,Passengers
448776,A Prayer Before Dawn
334541,Manchester by the Sea
394117,The Florida Project
82682,Gangster Squad
6479,I Am Legend
18487,The Taking of Pelham 1 2 3
8321,In Bruges
413362,Roman J. Israel, Esq.
186,Lucky Number Slevin
205587,The Judge
511785,Alex Strangelove
171274,Inherent Vice
73881,La fonte des neiges
17431,Moon
19913,(500) Days of Summer
72570,The Vow
293768,Kidnap
470229,Summer of 84
97630,Zero Dark Thirty
1966,Alexander
249397,Nymphomaniac: Vol. II
48171,The Rite
10947,High School Musical
353326,The Man Who Knew Infinity
302401,Snowden
86834,Noah
11887,High School Musical 3: Senior Year
207932,Inferno
8456,Never Back Down
68722,The Master
